Date,Total Value
2020-01-07,62590.38537311554
2020-01-08,62821.645493507385
2020-01-09,63162.052901268005
2020-01-10,63061.14908885956
2020-01-13,63449.966608047485
2020-01-14,63453.99916648865
2020-01-15,63687.977069854736
2020-01-16,64164.43799877167
2020-01-17,64348.765582084656
2020-01-21,64157.98565816879
2020-01-22,64196.01348018646
2020-01-23,64460.17133665085
2020-01-24,63843.417976379395
2020-01-27,62911.29154920578
2020-01-28,63555.20412302017
2020-01-29,63261.79339504242
2020-01-30,63391.1098856926
2020-01-31,62105.85877370834
2020-02-03,62546.567806720734
2020-02-04,63412.24462366104
2020-02-05,64105.20642709732
2020-02-06,64176.99826955795
2020-02-07,63741.52537727356
2020-02-10,64120.54693174362
2020-02-11,64526.24884939194
2020-02-12,65009.64180850983
2020-02-13,65119.19773864746
2020-02-14,65327.967668533325
2020-02-18,65140.580384254456
2020-02-19,65417.996970653534
2020-02-20,65409.15157842636
2020-02-21,64838.06514263153
2020-02-24,62939.42340755463
2020-02-25,60965.339502334595
2020-02-26,60617.04802083969
2020-02-27,58345.95081424713
2020-02-28,57690.78743457794
2020-03-02,59959.315091609955
2020-03-03,58720.9970664978
2020-03-04,61273.754470825195
2020-03-05,59203.12010574341
2020-03-06,58157.452060222626
2020-03-09,53971.451208114624
2020-03-10,56443.814529418945
2020-03-11,53344.176990032196
2020-03-12,48185.81103205681
2020-03-13,51703.141684532166
2020-03-16,45141.56515979767
2020-03-17,47570.926268815994
2020-03-18,44502.33613181114
2020-03-19,45435.8926692009
2020-03-20,43066.56390666962
2020-03-23,41588.39687657356
2020-03-24,46042.66149377823
2020-03-25,47411.45766544342
2020-03-26,50267.570900678635
2020-03-27,48562.22517132759
2020-03-30,49854.21587920189
2020-03-31,48916.63407754898
2020-04-01,46520.39997005463
2020-04-02,47246.10930466652
2020-04-03,46490.375415086746
2020-04-06,50309.030022382736
2020-04-07,50390.64061450958
2020-04-08,52491.15318989754
2020-04-09,53477.21152639389
2020-04-13,52389.334966659546
2020-04-14,53988.310703754425
2020-04-15,52612.83789396286
2020-04-16,52883.03783893585
2020-04-17,54719.521955013275
2020-04-20,53673.87591838837
2020-04-21,52079.30676460266
2020-04-22,53265.4963927269
2020-04-23,53125.4888176918
2020-04-24,53888.49286651611
2020-04-27,55160.763357162476
2020-04-28,55338.347031116486
2020-04-29,56695.24249124527
2020-04-30,55652.807223796844
2020-05-01,54221.12531995773
2020-05-04,54420.997841358185
2020-05-05,55077.03263759613
2020-05-06,54671.694276332855
2020-05-07,55336.67355632782
2020-05-08,56325.52883052826
2020-05-11,56263.68644809723
2020-05-12,54867.796055316925
2020-05-13,53818.77317237854
2020-05-14,54423.23877000809
2020-05-15,54763.708943367004
2020-05-18,57089.72429513931
2020-05-19,56616.23137807846
2020-05-20,57388.39037322998
2020-05-21,57081.98708629608
2020-05-22,57371.747889995575
2020-05-26,58371.47820186615
2020-05-27,59475.86831140518
2020-05-28,59365.8913526535
2020-05-29,59707.599301338196
2020-06-01,60015.35779714584
2020-06-02,60509.97348690033
2020-06-03,61609.270357608795
2020-06-04,61318.611003398895
2020-06-05,62851.187282562256
2020-06-08,63476.082993507385
2020-06-09,62470.90075683594
2020-06-10,61898.37445831299
2020-06-11,58105.21015548706
2020-06-12,58949.90981054306
2020-06-15,59638.214738845825
2020-06-16,60843.99895524979
2020-06-17,60672.36247205734
2020-06-18,60516.2165312767
2020-06-19,60218.90478038788
2020-06-22,60412.688581466675
2020-06-23,60467.23531293869
2020-06-24,58752.3893904686
2020-06-25,59353.28619003296
2020-06-26,58280.65299320221
2020-06-29,59135.541207790375
2020-06-30,60057.288352012634
2020-07-01,60244.772918224335
2020-07-02,60520.50043487549
2020-07-06,61352.96892404556
2020-07-07,60630.63806962967
2020-07-08,60974.222340106964
2020-07-09,60512.096111774445
2020-07-10,60986.325882434845
2020-07-13,60420.77443599701
2020-07-14,61520.1949262619
2020-07-15,62605.14351558685
2020-07-16,62407.37951660156
2020-07-17,62841.101867198944
2020-07-20,63025.72154426575
2020-07-21,63176.28755092621
2020-07-22,64011.13837099075
